1047,17,Found humiliating a child online,Westminster
1048,26,Forged signature of authority,Hillingdon
1049,27,Committed fraud through online phishing,Bexley
1050,11,Beat 10 year old son,Sutton
1051,54,Guilty of soliciting a murder,Redbridge
1052,16,Failed to appear in front of the court,Merton
1053,35,Accidentally shot a relative,Bexley
1054,59,Caught defacing a monument,City of London
1055,40,Assassinated a man using a knife,Waltham Forest
1056,48,Caught laundering money for an organization,Enfield
1057,24,Caught stealing money from the workplace,Haringey
1058,49,Raped a co-worker,Kensington and Chelsea
1059,8,Attempted to rob a store,Sutton
1060,45,Caught practicing prostitution on 11th street,Havering
1061,59,Caught defacing a monument,Lewisham
1062,11,Beat 13 year old daughter,Hillingdon
1063,6,Had set fire to the vehicle,Merton
1064,20,Abandoned the parents,Camden
1065,56,Involved in unlawful sex with a minor,Southwark
1066,56,Sexually assaulted a minor,Islington
1067,17,Found harrasing a child online,Islington
1068,49,Raped an employee,Barking and Dagenham
1069,5,Robbed a store,Tower Hamlets
1070,18,Caught loitering the streets,Southwark
1071,56,Involved in unlawful sex with a minor,Merton
1072,6,Had set fire to the forest,Bromley
1073,36,Shot a woman dead,Hounslow
1074,26,Forged signature of authority,Waltham Forest
1075,3,Found possessing 1 kg cocaine,Waltham Forest
1076,43,Committed perjury while under oath,Barnet
1077,18,Caught urinating in public,Merton
1078,47,Caught trying to lure people into a pyramid scheme,Islington
1079,40,Assassinated a man using a knife,Hounslow
1080,61,Caught manipulating locals to transfer money to a bank account,Brent
1081,36,Shot a woman dead,City of London
1082,48,Caught acting as a loan shark and extorting locals,Southwark
1083,28,Harassed a student,Hounslow
1084,16,Indecent behaviour in the court,Tower Hamlets
1085,14,Conspired to hijack a plane,Enfield
1086,59,Caught painting on private owned walls,Wandsworth
1087,8,Attempted to rob a store,Greenwich
1088,26,Forged degree certificates,Wandsworth
1089,50,Robbed a local shop,Richmond upon Thames
1090,18,Caught urinating in public,Merton
1091,51,Bought shares under a fictitious names,Barking and Dagenham
1092,59,Caught damaging library books,Islington
1093,59,Caught setting fire to a tree,Kensington and Chelsea
1094,57,Caught for underreporting income,Hammersmith and Fulham
1095,19,Played loud music after 11pm,Kensington and Chelsea
1096,13,Hacked into a website,Camden
1097,55,Caught stalking ex-girlfriend,Bexley
1098,56,Involved in unlawful sex with a minor,Hillingdon
1099,33,Used health insurance funds for fraudulent purposes,Merton
1100,48,Caught extorting money from shops in 3rd avenue,Barking and Dagenham
1101,6,Had set fire to the building,Brent
1102,18,Caught in a drunk state,Wandsworth
1103,13,Hacked into a company server,City of London
1104,33,Used health insurance funds for fraudulent purposes,Kensington and Chelsea
1105,16,Failed to appear in front of the court,Hillingdon
1106,9,Caught bribing a politition,Croydon
1107,45,Caught practicing prostitution on 11th street,Lewisham
1108,16,Indecent behaviour in the court,Southwark
1109,36,Shot a woman dead,Bromley
1110,44,Violated terms of proabtion by approaching victim/defendent,Greenwich
1111,12,Found selling/uploading child pornography,Hammersmith and Fulham
1112,15,Stole money from other peoples credit card,Haringey
1113,40,Assassinated a man using a knife,Croydon
1114,37,Caught in possession of medical marijuana without doctors prescription,Tower Hamlets
1115,5,Robbed a bank,Tower Hamlets
1116,13,Hacked into a company server,Southwark
1117,38,Caught in possession of alcohol under age,Lambeth
1118,43,Committed perjury while under oath,Haringey
1119,18,Caught in a drunk state,City of London
1120,23,Caught driving a car under the influence of alcohol,Kingston upon Thames
1121,11,Beat 13 year old daughter,Haringey
1122,54,Guilty of soliciting a kidnapping,Barnet
1123,53,Caught shoplifting on 1st street,Brent
1124,35,Accidentally shot a relative,Bromley
1125,44,Violated terms of probation by leaving the city,Redbridge
1126,3,Found possessing 1 kg cocaine,Islington
1127,8,Attempted to rob a store,Southwark
1128,30,Committed consensual homicide,Croydon
1129,6,Had set fire to a cinema,City of London
1130,2,Assaulted a politition,Bromley
1131,48,Caught extorting money from shops in 3rd avenue,Hammersmith and Fulham
1132,44,Violated terms of probation by leaving the city,Camden
1133,14,Conspired to bomb a building,Bexley
1134,29,Committed hate crimes against another race,Kensington and Chelsea
1135,26,Forged degree certificates,Brent
1136,43,Committed perjury while under oath,Bromley
1137,41,Pushed a man down the stairs after argument,Southwark
1138,57,Caught for hiding interest in offshore accounts,Havering
1139,34,Kidnapped a 5 year old child,Richmond upon Thames
1140,1,Aided a fugitive,Richmond upon Thames
1141,26,Forged stamp papers,Newham
1142,6,Had set fire to the vehicle,City of London
1143,46,Caught drunk and causing disruption in a public park,Barnet
1144,20,Assaulted the spouse,Hackney
1145,60,Caught practicing a ponzi scheme,City of London
1146,58,Caught involved in a lottery scam,Lambeth
1147,25,Blackmailed the employer for raise in wage,Brent
1148,20,Assaulted the spouse,Harrow
1149,14,Conspired to hijack a plane,Sutton
1150,3,Found trafficing 1 kg cocaine,Barnet
1151,10,Abandoned child on the road,Greenwich
1152,22,Caught selling methamphetamine,Lewisham
1153,6,Had set fire to a cinema,Tower Hamlets
1154,13,Hacked into a company server,Hammersmith and Fulham
1155,14,Conspired to bomb a building,Bromley
1156,39,Caught laundering illegal drug money,Westminster
1157,45,Caught practicing prostitution on 1st street,Newham
1158,5,Robbed a house,Hackney
1159,16,Failed to appear in front of the court,Enfield
1160,16,Failed to comply with courts order,Harrow
1161,27,Committed fraud through online phishing,Sutton
1162,35,Accidentally shot a man,Hammersmith and Fulham
1163,55,Caught stalking ex-girlfriend,Hammersmith and Fulham
1164,5,Robbed a store,Brent
1165,58,Caught involved in Credit card scam,Sutton
1166,54,Guilty of soliciting prostitution,Kingston upon Thames
1167,3,Found possessing 1 kg cocaine,Redbridge
1168,52,Sexually assaulted an employee,Croydon
1169,17,Found harrasing a child online,Brent
1170,6,Had set fire to a cinema,Richmond upon Thames
1171,57,Caught for underreporting income,Merton
1172,13,Hacked into a website,Hillingdon
1173,2,Assaulted a police officer,Brent
1174,20,Assaulted the spouse,Barking and Dagenham
1175,61,Caught manipulating locals to transfer money to a bank account,Tower Hamlets
1176,3,Found cultitvating drugs,Westminster
1177,39,Caught laundering illegal drug money,Wandsworth
1178,2,Assaulted a politition,Westminster
1179,13,Hacked into a website,Barking and Dagenham
1180,45,Caught practicing prostitution on 11th street,Kensington and Chelsea
1181,38,Caught drinking under age,Barnet
1182,37,Caught in possession of medical marijuana without doctors prescription,Barnet
1183,6,Had set fire to the house,Camden
1184,54,Guilty of soliciting a kidnapping,Waltham Forest
1185,13,Stole companys private information,Bexley
1186,2,Assaulted a minor,Bromley
1187,3,Found cultitvating drugs,Westminster
1188,32,Caught impersonating another person in a bank,Camden
1189,30,Committed vehicular homicide,Tower Hamlets
1190,61,Caught manipulating locals to transfer money to a bank account,Enfield
1191,46,Caught drunk and causing disruption in a public park,Newham
1192,19,Started a brawl,Bexley
1193,13,Corrupted the data files of a company,Southwark
1194,59,Caught defacing a monument,Brent
1195,59,Caught painting on private owned walls,City of London
1196,18,Caught engaing in a fight,Croydon
1197,5,Robbed a store,Sutton
1198,26,Forged degree certificates,Havering
1199,7,Shot a person on the shoulder,Redbridge
1200,59,Caught setting fire to a tree,Barking and Dagenham
1201,29,Committed hate crimes against religion,Barking and Dagenham
1202,7,Hit a person on the head with a rod,Hammersmith and Fulham
1203,36,Shot a woman dead,Bromley
1204,13,Hacked into a company server,Southwark
1205,15,Stole money from other peoples credit card,Sutton
1206,2,Assaulted a police officer,Greenwich
1207,51,Caught manipulating accounts,Redbridge
1208,26,Forged degree certificates,Westminster
1209,58,Caught for gemstones fraud,Hammersmith and Fulham
1210,22,Caught selling marijuana on streets,Hammersmith and Fulham
1211,6,Had set fire to the forest,Redbridge
1212,31,Caught streaking in the park,Richmond upon Thames
1213,43,Committed perjury while under oath,Enfield
1214,24,Caught stealing money from the workplace,Bromley
1215,7,Shot a person on the shoulder,Greenwich
1216,10,Abandoned child on the road,Sutton
1217,29,Committed hate crimes against another race,Bromley
1218,8,Attempted to rob a store,Hammersmith and Fulham
1219,48,Caught laundering money for an organization,Hillingdon
1220,4,Broke into a house and stole valuables,Bromley
1221,47,Caught trying to lure students into a pyramid scheme,Islington
1222,26,Forged degree certificates,Tower Hamlets
1223,26,Forged degree certificates,Camden
1224,1,Aided a runaway,Tower Hamlets
1225,21,Caught cultivating marijuana indoors,Bexley
1226,36,Stabbed a man dead,Merton
1227,57,Caught for hiding interest in offshore accounts,Islington
1228,17,Found threatening a child online,Lewisham
1229,42,Caught with an open botle of alcohol in the park,Wandsworth
1230,51,Bought shares under a fictitious names,Sutton
1231,2,Assaulted a woman,Harrow
1232,14,Conspired to bomb a building,Haringey
1233,31,Caught streaking in the park,Tower Hamlets
1234,33,Used health insurance funds for fraudulent purposes,Bromley
1235,3,Found trafficing 1 kg cocaine,Richmond upon Thames
1236,48,Caught extorting money from shops in 3rd avenue,City of London
1237,30,Committed consensual homicide,Wandsworth
1238,7,Stabbed a person,Sutton
1239,53,Caught shoplifting on 1st street,Waltham Forest
1240,57,Caught for underreporting income,Havering
1241,18,Caught in a drunk state,Harrow
1242,17,Found harrasing a child online,Waltham Forest
1243,27,Used trust funds for fraudulent purposes,Enfield
1244,22,Caught selling methamphetamine,Kingston upon Thames
1245,48,Caught laundering money for an organization,Southwark
1246,8,Attempted to rob a store,Enfield
1247,17,Found threatening a child online,Westminster
1248,28,Harassed a student,Southwark
1249,4,Broke into a store and stole valuables,City of London
1250,55,Caught stalking ex-boyfriend,Hounslow
1251,12,Found with collection of child pornography,Wandsworth
1252,26,Forged signature of authority,Harrow
1253,42,Caught with an open bottle of alcohol in the car,Merton
1254,6,Had set fire to the vehicle,Haringey
1255,27,Committed fraud through online phishing,Camden
1256,16,Failed to appear in front of the court,Bromley
1257,13,Corrupted the data files of a company,Lambeth
1258,3,Found trafficing 1 kg cocaine,Greenwich
1259,16,Indecent behaviour in the court,Newham
1260,12,Found with collection of child pornography,Harrow
1261,16,Indecent behaviour in the court,Bromley
1262,18,Caught loitering the streets,Ealing
1263,18,Caught urinating in public,Camden
1264,28,Harassed a student,Westminster
1265,7,Hit a person on the head with a rod,Wandsworth
1266,3,Found possessing 1 kg cocaine,Barking and Dagenham
1267,2,Assaulted a woman,Lewisham
1268,3,Found trafficing 1 kg cocaine,Islington
1269,8,Attempted to rob a bank,Haringey
1270,13,Corrupted the data files of a company,Hackney
1271,52,Sexually assaulted an employee,Hammersmith and Fulham
1272,48,Caught laundering money for an organization,Islington
1273,55,Caught stalking a woman,Enfield
1274,59,Caught painting on private owned walls,Harrow
1275,59,Caught setting fire to a tree,Hounslow
1276,18,Caught urinating in public,Havering
1277,32,Caught impersonating another student in the exam hall,Haringey
1278,36,Stabbed a man dead,Islington
1279,37,Caught in possession of medical marijuana without doctors prescription,Bromley
1280,49,Raped a minor,Brent
1281,29,Committed hate crimes against another race,Richmond upon Thames
1282,1,Aided a runaway,Greenwich
1283,7,Stabbed a person,Waltham Forest
1284,27,Committed fraud through online phishing,Barnet
1285,51,Bought shares under a fictitious names,Richmond upon Thames
1286,32,Caught impersonating another student in the exam hall,Hillingdon
1287,6,Had set fire to the vehicle,Westminster
1288,14,Conspired to rob a bank,Ealing
1289,55,Caught stalking ex-boyfriend,Barnet
1290,26,Forged degree certificates,Bromley
1291,37,Caught selling medical merijuana without permit,Hillingdon
1292,39,Caught laundering illegal drug money,Westminster
1293,59,Caught damaging library books,Hammersmith and Fulham
1294,15,Stole money from other peoples credit card,Bromley
1295,5,Robbed a store,Barking and Dagenham
1296,20,Financially exploited the elderly,Havering
1297,61,Caught manipulating locals to transfer money to a bank account,Westminster
1298,48,Caught acting as a loan shark and extorting locals,Islington
1299,55,Caught stalking a woman,Lewisham
1300,29,Committed hate crimes against religion,Newham
1301,3,Found trafficing 1 kg cocaine,Barking and Dagenham
1302,36,Shot a child dead,Wandsworth
1303,50,Robbed a house,Southwark
1304,60,Caught practicing a ponzi scheme,Kingston upon Thames
1305,60,Caught bribing officials,Hillingdon
1306,32,Caught impersonating another person in a bank,City of London
1307,33,Used health insurance funds for fraudulent purposes,Greenwich
1308,58,Caught for gemstones fraud,Tower Hamlets
1309,13,Stole companys private information,Newham
1310,36,Shot a child dead,Camden
1311,36,Shot a woman dead,Enfield
1312,6,Had set fire to the forest,Hounslow
1313,20,Financially exploited the elderly,Hackney
1314,53,Caught shoplifting on 3rd street,Hackney
1315,14,Conspired to rob a bank,Lewisham
1316,59,Caught setting fire to a tree,Greenwich
1317,46,Caught drunk and causing disruption in a public park,Kingston upon Thames
1318,35,Accidentally shot a man,Islington
1319,12,Found selling/uploading child pornography,Newham
1320,9,Caught accepting bribe from a person,Camden
1321,48,Caught laundering money for an organization,Wandsworth
1322,44,Violated terms of proabtion by approaching victim/defendent,Westminster
1323,59,Caught damaging library books,Hillingdon
1324,48,Caught extorting money from shops in 3rd avenue,Camden
1325,42,Caught with an open bottle of alcohol in the car,Westminster
1326,40,Assassinated a man using a knife,Lambeth
1327,30,Committed vehicular homicide,Wandsworth
1328,60,Caught bribing officials,Camden
1329,43,Committed perjury by confirming false information,City of London
1330,30,Committed consensual homicide,Wandsworth
1331,1,Aided a runaway,Enfield
1332,37,Caught selling medical merijuana without permit,Southwark
1333,41,Pushed a man down the stairs after argument,Hounslow
1334,49,Raped a minor,Hackney
1335,7,Hit a person on the head with a rod,Enfield
1336,2,Assaulted a police officer,Hammersmith and Fulham
1337,42,Caught with an open botle of alcohol in the park,Lewisham
1338,40,Assassinated a woman using a dagger41Commited murder of the second degree,Kensington and Chelsea
1339,51,Caught manipulating accounts,Richmond upon Thames
1340,38,Caught in possession of alcohol under age,Croydon
1341,17,Found humiliating a child online,Waltham Forest
1342,6,Had set fire to the vehicle,Wandsworth
1343,10,Abandoned child on the road,Barnet
1344,51,Diverted funds from banks to stockbrokers,Barnet
1345,16,Failed to appear in front of the court,Haringey
1346,44,Violated terms of proabtion by approaching victim/defendent,Haringey
1347,36,Shot a child dead,Kingston upon Thames
1348,59,Caught damaging library books,Haringey
1349,53,Caught shoplifting on 3rd street,Wandsworth
1350,1,Aided a runaway,Brent
1351,19,Started a brawl,Croydon
1352,47,Caught trying to lure people into a pyramid scheme,Tower Hamlets
1353,38,Caught drinking under age,Hillingdon
1354,49,Raped a minor,Hammersmith and Fulham
1355,54,Guilty of soliciting a murder,Greenwich
1356,2,Assaulted a woman,Southwark
1357,54,Guilty of soliciting a kidnapping,Kingston upon Thames
1358,8,Attempted to rob a bank,Enfield
1359,6,Had set fire to the building,Westminster
1360,18,Caught in a drunk state,Merton
1361,41,Pushed a man down the stairs after argument,Bromley
1362,27,Committed fraud through online phishing,Hackney
1363,3,Found cultitvating drugs,Tower Hamlets
1364,18,Caught engaing in a fight,Barnet
1365,16,Indecent behaviour in the court,Camden
1366,32,Caught impersonating another person in a bank,Barking and Dagenham
1367,49,Raped a minor,Lambeth
1368,32,Caught impersonating another person in a bank,Enfield
1369,11,Beat 10 year old son,Lambeth
1370,46,Caught drunk and urinating on the street,Newham
1371,60,Caught practicing a ponzi scheme,Hammersmith and Fulham
1372,6,Had set fire to the house,Westminster
1373,6,Had set fire to the vehicle,Hammersmith and Fulham
1374,53,Caught shoplifting on 3rd street,Hillingdon
1375,6,Had set fire to the house,Bromley
1376,12,Found with collection of child pornography,Lambeth
1377,19,Played loud music after 11pm,Hounslow
1378,28,Harassed a student,Newham
1379,20,Engaged in a abusive behaviour against the spouse,Islington
1380,18,Caught engaing in a fight,Westminster
1381,3,Found cultitvating drugs,Merton
1382,57,Caught for inflating deductions/expenses,Bromley
1383,35,Accidentally shot a relative,Ealing
1384,57,Caught for hiding interest in offshore accounts,Kingston upon Thames
1385,37,Caught in possession of medical marijuana without doctors prescription,Kensington and Chelsea
1386,2,Assaulted a police officer,Barking and Dagenham
1387,44,Violated terms of proabtion by approaching victim/defendent,Harrow
1388,45,Caught practicing prostitution on 1st street,Bromley
1389,49,Raped an employee,Westminster
1390,60,Caught practicing a ponzi scheme,Croydon
1391,36,Stabbed a man dead,Kingston upon Thames
1392,41,Hit husband on the head with a candlestick after she found out about his affair,Croydon
1393,41,Hit husband on the head with a candlestick after she found out about his affair,Richmond upon Thames
1394,36,Stabbed a man dead,Camden
1395,11,Beat 13 year old daughter,Lambeth
1396,59,Caught defacing a monument,Merton
1397,49,Raped an employee,Merton
1398,3,Found possessing 1 kg cocaine,Barking and Dagenham
1399,23,Caught driving a car under the influence of alcohol,Hillingdon
1400,18,Caught loitering the streets,Bromley
1401,22,Caught selling methamphetamine,Ealing
1402,26,Forged degree certificates,City of London
1403,47,Caught trying to lure students into a pyramid scheme,Wandsworth
1404,25,Extorted money from a person under threat of exposure,Sutton
1405,22,Caught selling methamphetamine,Haringey
1406,35,Accidentally shot a relative,Greenwich
1407,3,Found cultitvating drugs,Westminster
1408,20,Engaged in a abusive behaviour against the spouse,Havering
1409,19,Played loud music after 11pm,Hillingdon
1410,21,Caught manufacturing large quantities of methamphetamine,Southwark
1411,18,Caught loitering the streets,Lewisham
1412,22,Caught selling methamphetamine,Hammersmith and Fulham
1413,18,Caught engaing in a fight,Lewisham
1414,18,Caught in a drunk state,Hammersmith and Fulham
1415,29,Committed hate crimes against religion,Wandsworth
1416,2,Assaulted a politition,Barking and Dagenham
1417,22,Caught selling methamphetamine,Barking and Dagenham
1418,58,Caught for gemstones fraud,City of London
1419,2,Assaulted a police officer,Brent
1420,60,Caught bribing officials,Merton
1421,61,Caught manipulating locals to transfer money to a bank account,Brent
1422,57,Caught for inflating deductions/expenses,Greenwich
1423,26,Forged degree certificates,Waltham Forest
1424,5,Robbed a bank,Tower Hamlets
1425,13,Hacked into a website,Merton
1426,41,Pushed a man down the stairs after argument,Islington
1427,60,Caught bribing officials,Harrow
1428,24,Caught stealing money from the employer,Harrow
1429,4,Broke into a store and stole valuables,Ealing
1430,14,Conspired to hijack a plane,Newham
1431,1,Aided a criminal,Brent
1432,2,Assaulted a minor,Hammersmith and Fulham
1433,17,Found harrasing a child online,Barnet
1434,46,Caught drunk and urinating on the street,Kensington and Chelsea
1435,38,Caught drinking under age,Brent
1436,35,Accidentally shot a man,Wandsworth
1437,29,Committed hate crimes against religion,Croydon
1438,21,Caught cultivating marijuana indoors,Lewisham
1439,12,Found selling/uploading child pornography,City of London
1440,19,Played loud music after 11pm,Westminster
1441,50,Robbed a house,Islington
1442,49,Raped an employee,Redbridge
1443,27,Committed fraud through online phishing,Hammersmith and Fulham
1444,49,Raped an employee,Havering
1445,57,Caught for hiding interest in offshore accounts,Hillingdon
1446,46,Caught drunk and causing disruption in a public park,Kensington and Chelsea
1447,33,Used health insurance funds for fraudulent purposes,Croydon
1448,26,Forged signature of authority,Hackney
1449,9,Caught bribing a politition,Islington
1450,17,Found humiliating a child online,City of London
1451,3,Found possessing 1 kg cocaine,Lewisham
1452,2,Assaulted a politition,Bromley
1453,38,Caught drinking under age,Hillingdon
1454,37,Caught selling medical merijuana without permit,Redbridge
1455,55,Caught stalking ex-boyfriend,Wandsworth
1456,14,Conspired to bomb a building,Kensington and Chelsea
1457,3,Found possessing 1 kg cocaine,Haringey
1458,22,Caught selling marijuana on streets,Hammersmith and Fulham
1459,8,Attempted to rob a store,Lewisham
1460,1,Aided a fugitive,Haringey
1461,37,Caught selling medical merijuana without permit,Waltham Forest
1462,60,Caught practicing a ponzi scheme,Enfield
1463,59,Caught defacing a monument,Brent
1464,1,Aided a murderer,Lambeth
1465,7,Stabbed a person,Lambeth
1466,61,Caught manipulating employees of a company to transfer money to a bank account,Newham
1467,15,Stole money from other peoples credit card,Croydon
1468,12,Found with collection of child pornography,Kingston upon Thames
1469,46,Caught drunk and causing disruption in a public park,Hillingdon
1470,7,Stabbed a person,Harrow
1471,53,Caught shoplifting on 1st street,Tower Hamlets
1472,9,Caught accepting bribe from a person,Bexley
1473,21,Caught manufacturing large quantities of methamphetamine,Enfield
1474,20,Assaulted the spouse,Croydon
1475,42,Caught with an open bottle of alcohol in the car,Lambeth
1476,38,Caught drinking under age,Barnet
1477,37,Caught selling medical merijuana without permit,Newham
1478,37,Caught in possession of medical marijuana without doctors prescription,Croydon
1479,53,Caught shoplifting on 3rd street,City of London
1480,14,Conspired to hijack a plane,Enfield
1481,23,Caught driving a car under the influence of alcohol,City of London
1482,26,Forged signature of authority,Wandsworth
1483,39,Laundered black money,Bromley
1484,17,Found threatening a child online,Southwark
1485,20,Engaged in a abusive behaviour against the spouse,Kingston upon Thames
1486,7,Hit a person on the head with a rod,Waltham Forest
1487,6,Had set fire to the building,Croydon
1488,54,Guilty of soliciting prostitution,Tower Hamlets
1489,7,Shot a person on the shoulder,Hillingdon
1490,40,Assassinated a man using a knife,Wandsworth
1491,50,Robbed a local shop,Greenwich
1492,20,Assaulted the spouse,Brent
1493,6,Had set fire to the vehicle,Barking and Dagenham
1494,50,Robbed a local shop,Camden
1495,54,Guilty of soliciting a murder,Havering
1496,40,Assassinated a man using a knife,Enfield
1497,29,Committed hate crimes against religion,Harrow
1498,57,Caught for inflating deductions/expenses,Sutton
1499,12,Found with collection of child pornography,Havering
1500,29,Committed hate crimes against religion,City of London
1501,1,Aided a fugitive,Brent
1502,16,Failed to comply with courts order,Merton
1503,8,Attempted to rob a store,Kingston upon Thames
1504,54,Guilty of soliciting a kidnapping,Kensington and Chelsea
1505,55,Caught stalking a woman,Wandsworth
1506,49,Raped a co-worker,Bexley
1507,28,Harassed a student,Hammersmith and Fulham
1508,51,Diverted funds from banks to stockbrokers,Haringey
1509,42,Caught with an open botle of alcohol in the park,Hackney
1510,17,Found harrasing a child online,Westminster
1511,25,Extorted money from a person under threat of exposure,Bromley
1512,7,Shot a person on the shoulder,Richmond upon Thames
1513,23,Caught driving a car under the influence of alcohol,Ealing
1514,52,Sexually assaulted a co-worker,Enfield
1515,50,Robbed a house,Harrow
1516,17,Found harrasing a child online,Waltham Forest
1517,28,Harassed a student,Sutton
1518,20,Engaged in a abusive behaviour against the spouse,Greenwich
1519,46,Caught drunk and urinating on the street,Richmond upon Thames
1520,1,Aided a fugitive,Enfield
1521,60,Caught practicing a ponzi scheme,Brent
1522,50,Robbed a house,Sutton
1523,6,Had set fire to the building,Brent
1524,5,Robbed a bank,Newham
1525,2,Assaulted a police officer,Westminster
1526,37,Caught selling medical merijuana without permit,Hounslow
1527,5,Robbed a civilian,Kensington and Chelsea
1528,22,Caught selling marijuana on streets,Havering
1529,18,Caught engaing in a fight,Sutton
1530,17,Found threatening a child online,Enfield
1531,21,Caught cultivating marijuana indoors,Hackney
1532,48,Caught extorting money from shops in 3rd avenue,Richmond upon Thames
1533,19,Started a brawl,Tower Hamlets
1534,46,Caught drunk and causing disruption in a public park,Barking and Dagenham
1535,56,Involved in unlawful sex with a minor,Newham
1536,43,Committed perjury by confirming false information,Hammersmith and Fulham
1537,60,Caught practicing a ponzi scheme,Havering
1538,25,Blackmailed the employer for raise in wage,Bromley
1539,51,Bought shares under a fictitious names,City of London
1540,50,Robbed a local shop,Newham
1541,29,Committed hate crimes against another race,Harrow
1542,29,Committed hate crimes against religion,Croydon
1543,8,Attempted to rob a bank,Kingston upon Thames
1544,22,Caught selling methamphetamine,Islington
1545,1,Aided a criminal,Newham
1546,27,Committed fraud through online phishing,Lambeth
1547,43,Committed perjury by confirming false information,Southwark
1548,5,Robbed a bank,Lewisham
1549,55,Caught stalking ex-boyfriend,Bexley
1550,45,Caught practicing prostitution on 1st street,Enfield
1551,54,Guilty of soliciting prostitution,Sutton
1552,8,Attempted to rob a bank,Lambeth
1553,6,Had set fire to the house,Hackney
1554,7,Stabbed a person,Brent
1555,14,Conspired to hijack a plane,Bexley
1556,58,Caught involved in Credit card scam,Waltham Forest
1557,47,Caught trying to lure students into a pyramid scheme,Tower Hamlets
1558,5,Robbed a bank,Havering
1559,18,Caught loitering the streets,Croydon
1560,1,Aided a murderer,Brent
1561,14,Conspired to bomb a building,Sutton
1562,26,Forged signature of authority,Southwark
1563,18,Caught urinating in public,Lewisham
1564,49,Raped a co-worker,Tower Hamlets
1565,41,Pushed a man down the stairs after argument,Croydon
1566,11,Beat 10 year old son,Brent
1567,3,Found cultitvating drugs,Lewisham
1568,5,Robbed a house,Barnet
1569,50,Robbed a local shop,Westminster
1570,31,Caught streaking in the park,Sutton
1571,2,Assaulted a politition,Merton
1572,40,Assassinated a woman using a dagger41Commited murder of the second degree,Kingston upon Thames
1573,21,Caught cultivating marijuana indoors,Wandsworth
1574,2,Assaulted a woman,Camden
1575,19,Played loud music after 11pm,Brent
1576,50,Robbed a local shop,Tower Hamlets
1577,59,Caught damaging library books,Kingston upon Thames
1578,53,Caught shoplifting on 3rd street,Havering
1579,1,Aided a runaway,Tower Hamlets
1580,59,Caught damaging library books,Tower Hamlets
1581,59,Caught damaging library books,Redbridge
1582,29,Committed hate crimes against religion,Lewisham
1583,32,Caught impersonating another student in the exam hall,Hammersmith and Fulham
1584,35,Accidentally shot a man,Southwark
1585,44,Violated terms of proabtion by approaching victim/defendent,Redbridge
1586,11,Beat 13 year old daughter,Islington
1587,34,Kidnapped a 3 year old child,Bexley
1588,6,Had set fire to a cinema,Greenwich
1589,41,Hit husband on the head with a candlestick after she found out about his affair,Brent
1590,26,Forged signature of authority,Richmond upon Thames
1591,3,Found possessing 1 kg cocaine,Barking and Dagenham
1592,12,Found selling/uploading child pornography,Southwark
1593,10,Abandoned child in the mall,Redbridge
1594,3,Found cultitvating drugs,Richmond upon Thames
1595,5,Robbed a bank,Bexley
1596,60,Caught practicing a ponzi scheme,Newham
1597,14,Conspired to bomb a building,Bexley
1598,7,Stabbed a person,Waltham Forest
1599,48,Caught laundering money for an organization,Westminster
1600,16,Indecent behaviour in the court,Waltham Forest
